Theoric Scheduling EDF:
              Core 0   |  Core 1  
Time =   0 :  T0J1     |  T2J1
Time =   1 :  T0J1     |  T2J1
Time =   2 :  T1J1     |  T3J1
Time =   3 :  T1J1     |  T3J1
Time =   4 :  T1J1     |  T3J1
Time =   5 :  Idle     |  Idle
Time =   6 :  T0J2     |  Idle
Time =   7 :  T0J2     |  T2J2
Time =   8 :  Idle     |  T2J2
Time =   9 :  Idle     |  T3J2
Time =  10 :  T1J2     |  T3J2
Time =  11 :  T1J2     |  T3J2
Time =  12 :  T0J3     |  Idle
Time =  13 :  T0J3     |  Idle
Time =  14 :  T1J2     |  T2J3
Time =  15 :  T1J2     |  T2J3
Time =  16 :  Idle     |  T2J3
Time =  17 :  Idle     |  Idle



Theoric Scheduling EDFV1:
              Core 0   |  Core 1  
Time =   0 :  T0J1     |  T2J1
Time =   1 :  T0J1     |  T2J1
Time =   2 :  T1J1     |  T3J1
Time =   3 :  T1J1     |  T3J1
Time =   4 :  T1J1     |  T3J1
Time =   5 :  Idle     |  Idle
Time =   6 :  T0J2     |  Idle
Time =   7 :  T0J2     |  T2J2
Time =   8 :  Idle     |  T2J2
Time =   9 :  Idle     |  T3J2
Time =  10 :  T1J2     |  T3J2
Time =  11 :  T1J2     |  T3J2
Time =  12 :  T1J2     |  Idle
Time =  13 :  T0J3     |  Idle
Time =  14 :  T0J3     |  T2J3
Time =  15 :  Idle     |  T2J3
Time =  16 :  Idle     |  Idle

